SampleID	Vol	QDNA	Conc
SC253195-PC04925-E-07	10.5	68.2	6.495238095
SC253195-PC07578-E-07	11.6	80.4	6.931034483
SC253196-PC04925-F-07	23.9	580.9	24.30543933
SC253196-PC07578-F-07	26.9	671.9	24.97769517
SC253197-PC04925-G-07	34.8	870.8	25.02298851
SC253197-PC04925-H-07	18.1	227.9	12.59116022
SC253199-PC04925-A-08	20.1	337.6	16.7960199
SC253199-PC04925-B-08	41.8	1043.7	24.96889952
SC253199-PC04925-E-11	41.5	1037	24.98795181
SC253200-PC04925-C-08	21.4	467.6	21.85046729
SC253200-PC07578-C-08	21.8	513.3	23.54587156
SC253201-PC04925-D-08	20.3	354.7	17.4729064
SC253201-PC04925-D-E8	16.7	178.7	10.7005988
SC253201	30.4	760.3	25.00986842
SC253202-PC04925-F-08	0	0	0
SC253202-PC07578-F-08	8.8	51.1	5.806818182
SC253203-PC04925-G-08	38.5	962.6	25.0025974
SC253203-PC04925-H-08	17.7	214.1	12.0960452
SC253204	0	0	0
SC253843-PC04924-F-10	0	0	0
SC253843-PC04925-B-09	0	0	0
SC253844	20.1	338.4	16.8358209
SC253845-PC04924-H-10	21.9	536.7	24.50684932
SC253845-PC04925-C-09	0	0	0
SC253845	25.7	643.6	25.04280156
SC253846-PC04924-A-11	21	416.6	19.83809524
SC253846-PC04925-D-09	20	336	16.8
SC253846	26.3	657.1	24.98479087
SC253847-PC04924-B-11	0	0	0
SC253847-PC04925-E-09	0	0	0
SC253848	13.1	101.8	7.770992366
SC253849-PC04924-D-11	0	0	0
SC253849-PC04925-F-09	0	0	0
SC253849	0	0	0
SC253851	20.8	404.7	19.45673077
SC253852-PC04924-F-11	0	0	0
SC253852-PC04925-G-09	0	0	0
SC253852	0	0	0
SC253853	0	0	0
SC253854	15.3	143.1	9.352941176
SC261515-PC04925-H-11	0	0	0
SC261515-PC07578-H-11	0	0	0
SC261516-PC04925-H-10	14.2	120.7	8.5
SC261516-PC07578-H-10	36	899.4	24.98333333
SC261517-PC04925-B-11	0	0	0
SC261517-PC07578-F-01	20.9	412.2	19.72248804
SC261518	8.2	46.4	5.658536585
SC261522-PC04925-F-11	19.5	298.8	15.32307692
SC261522-PC07578-F-11	0	0	0
SC261523-PC04925-G-10	20.6	381	18.49514563
SC261523-PC07578-G-10	18.8	260.4	13.85106383
SC261524-PC04925-H-09	0	0	0
SC261524-PC07578-H-09	16.6	176.9	10.65662651
SC261525-PC04925-D-10	0	0	0
SC261525-PC07578-D-10	16.1	163.4	10.14906832
SC261526-PC04925-C-11	17.2	194.1	11.28488372
SC261526-PC07578-C-11	22	541.4	24.60909091
SC261527	10.7	70	6.542056075
SC261528-PC04925-E-10	18.3	239.3	13.07650273
SC261528-PC07578-E-11	32.1	802.7	25.00623053
SC261529-PC04925-F-10	0	0	0
SC261529-PC07578-F-10	4.9	23.2	4.734693878
SC261531-PC04925-G-11	39.2	979.3	24.98214286
SC261531-PC07578-G-11	43.5	1088.5	25.02298851
SC261532-PC04925-D-11	12.7	95.8	7.543307087
SC261532-PC07578-D-11	26.4	658.7	24.95075758
SC284724	18.2	234.6	12.89010989
SC284725	20.2	349.8	17.31683168
SC284726	16.8	183.7	10.93452381
SC284727	42.5	1063	25.01176471
SC284728	33.3	832.9	25.01201201
SC284729	34.7	868	25.01440922
SC284730	15.8	155.1	9.816455696
SC284731	21.3	456.9	21.45070423
SC284732	19.4	290.8	14.98969072
SC284733	22	558.1	25.36818182
SC284734	40.1	1002.9	25.00997506
SC284735	20.3	359.7	17.71921182
SC304090	45.5	1137.1	24.99120879
SC304091	0	0	0
SC304092	39.3	983.4	25.02290076
SC304093	21.1	427.5	20.26066351
SC304094	0	0	0
SC304095	0	0	0
SC304096	9	53.4	5.933333333
SC304097	20.7	389.1	18.79710145
SC304098	21.2	437.2	20.62264151
SC304099	0	0	0
SC304924-PC07578-B-07	20.8	403.4	19.39423077
SC304924-PC07578-A-11	21.1	427.3	20.25118483
SC304925-PC07578-D-07	0	0	0
SC304925-PC07578-B-08	0	0	0
SC304926	24	593.9	24.74583333
SC304927	43.6	1088.7	24.97018349
SC304928	1.4	5.6	4
SC304929	21.6	495.7	22.94907407
SC304930	52.4	1308.9	24.97900763
SC304931	20.8	404.1	19.42788462
SC304934-PC07578-D-02	46	1149.8	24.99565217
SC304934-PC07578-C-05	31.2	779.1	24.97115385
SC304935-PC07578-C-06	0	0	0
SC304935-PC07578-B-10	12.6	94.2	7.476190476
SC304936	21.4	458.7	21.43457944
SC304937	43.1	1077	24.98839907
SC304938	1.6	6.3	3.9375
SC304939	0	0	0
SC304940	33.2	830.8	25.02409639
SC304941	0	0	0
SC326763	0	0	0
SC326764	35.2	879.4	24.98295455
SC326765	22.1	562.7	25.46153846
SC326766	52.5	1312.1	24.99238095
SC326767	35.8	895.3	25.00837989
SC326768	35.3	883.3	25.02266289
SC502441	22.5	634.8	28.21333333
SC502442	0	0	0
SC502443	23.5	950.9	40.46382979
SC502444	22.7	695.9	30.65638767
SC502445	0	0	0
SC502446	0	0	0
SC502447	23.4	886.4	37.88034188
SC502448	22.9	741.9	32.39737991
SC502449	0	0	0
SC502450	0	0	0
SC502451	19.7	315.2	16
SC502452	22.9	745.5	32.55458515
SC502453	22.5	649.3	28.85777778
SC502454	4.7	21.9	4.659574468
SC502455	23	762.9	33.16956522
SC502456	19.4	291.6	15.03092784
SC502457	10.5	68.2	6.495238095
SC502458	15.5	148.3	9.567741935
SC502459	22.3	599.9	26.90134529
SC510683	20.6	385.2	18.69902913
SC510684	19.9	323.8	16.27135678
SC552948	14.1	119.2	8.453900709
SC552949	22.6	676.6	29.9380531
SC552950	14.9	134	8.993288591
SC552951	23.2	824.8	35.55172414
SC552952	3.2	13.9	4.34375
SC552953	25.1	1203.6	47.95219124
SC552954	22.6	676.1	29.9159292
SC552955	22.9	744.5	32.51091703
SC552956	23.6	965.2	40.89830508
SC552957	23	758.3	32.96956522
SC552958	23.6	1006.8	42.66101695
SC552959	5.9	29.5	5
SC552960	23.6	998.8	42.3220339
SC552961	22	556	25.27272727
SC552962	0	0	0
SC552963	23.9	1142.8	47.81589958
SC552964	23.9	1118.1	46.78242678
SC552965	0	0	0
SC552966	23.5	954.3	40.60851064
SC552967	23.8	1091.1	45.84453782
SC552968	0	0	0
SC552969	20.7	394	19.03381643
SC552970	23.4	917.6	39.21367521
SC552971	21.6	491.8	22.76851852
SC552972	22.7	693.3	30.54185022
SC552973	0	0	0
SC552974	23.5	958.5	40.78723404
SC552975	20	335.8	16.79
SC552976	0	0	0
SC552977	23.9	1144.6	47.89121339
SC552978	23.9	1118.9	46.81589958
SC552979	23.8	1072.1	45.04621849
SC552980	0	0	0
SC552981	0	0	0
SC552982	28	1344.8	48.02857143
SC552983	0	0	0
SC552984	0	0	0
SC552985	0	0	0
SC552986	0	0	0
SC552987	23.8	1061.2	44.58823529
SC552988	23.2	819.9	35.34051724
SC552989	0	0	0
SC552990	23.1	789.5	34.17748918
SC552991	8.7	50.5	5.804597701
SC552992	21.1	434.8	20.60663507
SC552993	25.1	1203.9	47.96414343
SC552994	23.2	816.2	35.18103448
SC552995	20.2	346.7	17.16336634
SC552996	23.7	1019.6	43.02109705
SC552997	23.8	1061.2	44.58823529
SC552998	0	0	0
SC552999	21.2	442.4	20.86792453
SC553000	23.4	919.5	39.29487179
SC553001	23.1	783.2	33.9047619
SC553002	23.9	1111.9	46.52301255
SC553003	21.5	479.8	22.31627907
SC553004	16.9	187.3	11.08284024
SC553005	0	0	0
SC553006	23.7	1045.6	44.11814346
SC553007	23.7	1031.8	43.53586498
SC553008	22.6	660.8	29.23893805
SC553009	23.1	808.2	34.98701299
SC553010	23.3	861	36.9527897
SC553011	0	0	0
SC553012	0	0	0
SC553013	0	0	0
SC553014	0	0	0
SC553015	5.3	25.8	4.867924528
SC553016	0	0	0
SC553017	0	0	0
SC553018	0	0	0
SC553019	0	0	0
SC553020	0	0	0
SC553021	27	1295.7	47.98888889
SC553022	19.8	321.7	16.24747475
SC553023	0	0	0
SC553024	21.8	512.8	23.52293578
SC553025	23.5	952.2	40.51914894
SC553026	0	0	0
SC553027	0	0	0
SC553028	0	0	0
SC553029	0	0	0
SC553030	23.7	1027.6	43.35864979
SC553031	16.8	183.4	10.91666667
SC553032	21.2	447.6	21.11320755
SC553033	23.1	799.6	34.61471861
SC553034	23.2	838.9	36.15948276
SC553035	23.2	816.8	35.20689655
SC553036	0	0	0
SC553037	23.9	1140.7	47.72803347
SC553038	20.1	340.2	16.92537313
SC553039	19.3	286.9	14.86528497
SC553040	0	0	0
SC553041	23.4	913	39.01709402
SC553042	19.7	310.8	15.77664975
SC553043	20.6	378.7	18.38349515
SC553044	0	0	0
SC553045	22.4	616	27.5
SC553046	22.1	564	25.52036199
SC553047	0	0	0
SC553048	21.4	459.8	21.48598131
SC553049	23.9	1123.6	47.0125523
SC553050	23	775.4	33.71304348
SC553051	22.4	620.5	27.70089286
SC553052	0	0	0
SC553053	18.5	247.9	13.4
SC553054	0	0	0
SC553055	22.3	602.3	27.00896861
SC553056	0	0	0
SC553057	23.5	943.4	40.14468085
SC553058	0	0	0
SC553059	0	0	0
SC553060	0	0	0
SC553061	21.6	489.2	22.64814815
SC553062	0	0	0
SC553063	0	0	0
SC553064	0	0	0
SC553065	22.9	734.3	32.06550218
SC553066	23.4	906.5	38.73931624
SC553067	0	0	0
SC553068	20.3	354.5	17.46305419
SC553069	23.2	819.6	35.32758621
SC553070	23	760.1	33.04782609
SC553071	23.2	822.5	35.45258621
SC553072	23.1	790.5	34.22077922
SC553073	22.6	665.7	29.45575221
SC553074	22.5	644.6	28.64888889
SC553075	22.9	744.7	32.51965066
SC553076	18.9	268.7	14.21693122
SC553077	23.1	810	35.06493506
SC553078	20.4	362.3	17.75980392
SC553079	0	0	0
SC553080	0	0	0
SC553081	0	0	0
SC553082	0	0	0
SC553083	22.2	586.4	26.41441441
SC553084	23.2	843.3	36.34913793
SC553085	15.8	155.6	9.848101266
SC553086	0	0	0
SC553087	22.9	741.1	32.36244541
SC553088	0	0	0
SC553089	19.7	313.1	15.89340102
SC553090	0	0	0
SC553091	23.1	807.1	34.93939394
SC553092	0	0	0
SC553093	22.8	709.9	31.13596491
SC553094	0	0	0
SC555338	23.6	967.8	41.00847458
SC555339	27.2	1307.6	48.07352941
SC555340	23.9	1134.5	47.46861925
SC555341	22.2	589.8	26.56756757
SC555342	27.5	1321.4	48.05090909
SC555343	28.4	1362.2	47.96478873
SC555344	26.4	1265.5	47.93560606
SC555345	25.2	1210.7	48.04365079
SC555346	27	1294.6	47.94814815
SC555347	22.7	698.7	30.77973568
SC555348	23.2	839.4	36.18103448
SC555349	23.6	999	42.33050847
SC555350	29.6	1421.3	48.01689189
SC555351	23.6	990.2	41.95762712
Water-PC04924-G-12	0	0	0
Water-PC04925-G-12	0	0	0
Water-PC07578-G-12	0	0	0
Water-PC22190-E-12	0	0	0
Water-PC22192-C-12	0	0	0
