metadata	Inclusion	cat	response	answerkey
ibd_diagnosis_refined	b	disease		"Microcolitis | ""Ulcerative colitis"" | ""Colonic Crohn's Disease"" | ""Ileal Crohn's Disease"" | ""Ileal and Colonic Crohn's Disease"""
ibs	N	disease	0.697837473	"""I do not have this condition"" | ""Self-diagnosed"" | ""Diagnosed by a medical professional (doctor, physician assistant)"" | ""Diagnosed by an alternative medicine practitioner"""
kidney_disease	N	otherdis	0.705186687	
lactose	N	food	0.954299713	
last_move	N	N	0.7109309	
last_travel	N	N	0.961648927	
latitude	N	N		
level_of_education	N	N	0.686940362	
liver_disease	N	otherdis	0.703750634	
livingwith	N	N	0.966548403	
longitude	N	N		
lowgrain_diet_type	N	food	0.507856057	
lung_disease	N	otherdis	0.941037337	
meat_eggs_frequency	N	food	0.710761953	
mental_illness	b	disease	0.382581517	"""true"" | ""false"""
mental_illness_type_anorexia_nervosa	N	disease	0.381229937	"""true"" | ""false"""
mental_illness_type_bipolar_disorder	b	disease	0.381229937	"""true"" | ""false"""
mental_illness_type_bulimia_nervosa	N	disease	0.381229937	"""true"" | ""false"""
mental_illness_type_depression	b	disease	0.381229937	"""true"" | ""false"""
mental_illness_type_ptsd_posttraumatic_stress_disorder	b	disease	0.381229937	"""true"" | ""false"""
mental_illness_type_schizophrenia	b	disease	0.381229937	"""true"" | ""false"""
mental_illness_type_substance_abuse	b	disease	0.381229937	"""true"" | ""false"""
mental_illness_type_unspecified	N	disease	0.381229937	"""true"" | ""false"""
migraine	N	otherdis	0.933603649	
milk_cheese_frequency	N	food	0.708058794	
milk_substitute_frequency	N	food	0.707129583	
multivitamin	N	med	0.971785775	
nail_biter	N	random	0.961902348	
non_food_allergies_beestings	N	food		
non_food_allergies_drug_eg_penicillin	N	food		
non_food_allergies_pet_dander	N	food		
non_food_allergies_poison_ivyoak	N	food		
non_food_allergies_sun	N	food		
non_food_allergies_unspecified	N	food		
olive_oil	N	food	0.705440108	
one_liter_of_water_a_day_frequency	N	food	0.704679845	
other_supplement_frequency	N	food	0.968660247	
pets_other	N	N	0.387818888	
physical_specimen_location	N	N		
physical_specimen_remaining	N	N		
pku	N	N	0.957932083	
pool_frequency	N	N	0.973644197	
poultry_frequency	N	food	0.709663795	
pregnant	N	otherdis	0.774455144	
prepared_meals_frequency	N	food	0.710677479	
probiotic_frequency	N	med	0.709494847	
public	N	N		
race	a	des	0.979557358	"""African American"" | ""Asian or Pacific Islander"" | ""Caucasian"" | ""Hispanic"" | ""Other"""
ready_to_eat_meals_frequency	N	food	0.709156952	
red_meat_frequency	N	food	0.705862477	
roommates	N	N	0.730528806	
roommates_in_study	N	N	0.656698767	
salted_snacks_frequency	N	food	0.706876162	
sample_name	a	des		10317.[nine-digit-barcode]
sample_type	N	N		
scientific_name	N	N		
seafood_frequency	N	food	0.706200372	
seasonal_allergies	N	N	0.95514445	
sex	a	des	0.962409191	"""female"" | ""male"" | ""other"""
sibo	N	N	0.685842203	
skin_condition	N	otherdis	0.916371009	
sleep_duration	N	random	0.978628147	
smoking_frequency	N	drugs	0.977867883	"""Never"" | ""Rarely (a few times/month)"" | ""Occasionally (1-2 times/week)"" | ""Regularly (3-5 times/week)"" | ""Daily"""
softener	N	med	0.96147998	
specialized_diet_exclude_dairy	N	food		
specialized_diet_exclude_nightshades	N	food		
specialized_diet_exclude_refined_sugars	N	food		
specialized_diet_fodmap	N	food		
specialized_diet_halaal	N	food		
specialized_diet_i_do_not_eat_a_specialized_diet	N	food		
specialized_diet_kosher	N	food		
specialized_diet_modified_paleo_diet	N	food		
specialized_diet_other_restrictions_not_described_here	N	food		
specialized_diet_paleodiet_or_primal_diet	N	food		
specialized_diet_raw_food_diet	N	food		
specialized_diet_unspecified	N	food		
specialized_diet_westenprice_or_other_lowgrain_low_processed_fo	N	food		
state	N	N	0.826068593	
subset_age	N	N		
subset_antibiotic_history	N	med		
subset_bmi	N	des		
subset_diabetes	N	otherdis		
subset_healthy	N	disease		"""true"" | ""false"""
subset_ibd	N	disease		"""true"" | ""false"""
sugar_sweetened_drink_frequency	N	food	0.707129583	
sugary_sweets_frequency	N	food	0.708734584	
survey_id	N	N		
taxon_id	N	N		
teethbrushing_frequency	N	N	0.977023146	
thyroid	N	otherdis	0.702905896	
title	N	N		
tonsils_removed	N	otherdis	0.96646393	
types_of_plants	N	food	0.655769556	
vegetable_frequency	N	food	0.707383004	
vitamin_b_supplement_frequency	N	med	0.706031424	
vitamin_d_supplement_frequency	N	med	0.706960635	
vivid_dreams	N	N	0.378526778	
weight_change	N	N	0.964943403	
weight_kg	N	N	0.973306302	
weight_units	N	N		
whole_eggs	N	food	0.707720899	
whole_grain_frequency	N	food	0.701976685	
